รหัสสินค้า,รายละเอียด,หน่วยนับ,หมวด,สินค้าต้นงวด,จำนวนขาย,จำนวนซื้อ,จำนวนรับคืน,จำนวนปรับปรุง,จำนวนคงเหลือ,ต้นทุนสินค้ารวม,ราคาต้นทุนเฉลี่ย
05888200,สายฝักบัวแสตนเลส TM 200 cm,เส้น,60,15,8,0,0,0,7,1153.3333,164.7619
0599914,สายน้ำดีแสตนเลส TM 35 cm.,เส้น,60,5,22,20,1,0,4,216,54
0599916,สายน้ำดีแสตนเลส TM 40 cm.,เส้น,60,16,18,30,0,0,28,1631.3043,58.2609
0599918,สายน้ำดีแสตนเลส TM 45 cm.,เส้น,60,3,19,30,1,0,15,968.1818,64.5455
0599920,สายน้ำดีแสตนเลส TM 50 cm.,เส้น,60,0,10,20,0,0,10,700,70
0599922,สายน้ำดีแสตนเลส TM 55 cm.,เส้น,60,7,0,0,0,0,7,490,70
0599924,สายน้ำดีแสตนเลส TM 60 cm.,เส้น,60,10,10,10,0,0,10,775,77.5
0599925,สายน้ำดีแสตนเลส TM 70 cm.,เส้น,60,2,41,50,0,0,11,989.4271,89.9479
0599926,สายน้ำดีแสตนเลส TM 80 cm.,เส้น,60,0,36,30,0,9,3,300,100
0599932,สายน้ำดีแสตนเลส TM 80 cm.,เส้น,11,20,0,0,0,0,20,1900,95
05KT501G,ปุ่มดอกไม้ทอง Kingston #05-KT-501G,อัน,89,30,0,0,0,0,30,1950,65
05KT501S,ปุ่มดอกไม้เงิน Kingston #05-KT-501S,อัน,89,30,0,0,0,0,30,1950,65
05KT601G,ปุ่มเหลี่ยมเงิน Kingston #05-KT-601G,อัน,89,30,0,0,0,0,30,2250,75
05KT601S,ปุ่มเหลี่ยมเงิน Kingston #05-KT-601S,อัน,89,24,1,0,0,0,23,1725,75
05M0178,"ฉนานอยู่เย็น 3""*.6*4 ม.",ม้วน,20,240,1,0,0,0,239,56794.4218,237.6336
060096312944,"คีมหนีบหางปลา META 8""#108A",อัน,80,4,0,0,0,0,4,396,99
0648800,ฝนดาวตก 1 ม.รุ่น 2 ด้านหลอด LED 192ดวง สีขาว,ชุด,90,1,0,0,0,0,1,530,530
0648900,ฝนดาวตก 1 ม.รุ่น 2 ด้านหลอด LED 192ดวง สีสลับ,ชุด,90,2,0,0,0,0,2,1060,530
0649000,ฝนดาวตก 1 ม.รุ่น 2 ด้านหลอด LED 192ดวง สีแดง,ชุด,90,2,0,0,0,0,2,1060,530
0649100,ฝนดาวตก 1 ม.รุ่น 2 ด้านหลอด LED 192ดวง สีน้ำเงิน,ชุด,90,2,0,0,0,0,2,1060,530
0649200,ฝนดาวตก 1 ม.รุ่น 2 ด้านหลอด LED 192ดวง สีเขียว,ชุด,90,2,0,0,0,0,2,1060,530
0649300,ฝนดาวตก 1 ม.รุ่น 2 ด้านหลอด LED 192ดวง สีเหลือง,ชุด,90,2,0,0,0,0,2,1060,530
066280236584,สว่านโรตารี่ 3ระบบ BOZ# 2-26DFR,ตัว,90,3,0,0,0,0,3,4725,1575
0733007104000,"ชุดจานรอง+น๊อตล๊อค4"" #W6-100",แผง,89,0,0,10,0,0,10,560,56
0734909190007,ปากกาจับงานไม้ตัว F(ASAKI)120*250#AK-6247,อัน,20,7,0,0,0,0,7,1365,195
0741100541000,แปรงล้างห้องน้ำหัวกลม ขนไนล่อน,อัน,80,1,0,0,0,0,1,24.1667,24.1667
076174101317,มีดคัทเตอร์ด้าม PVC เล็ก ST # 10-131,อัน,80,0,2,0,0,3,1,0,0
